GameStats,wins,losses,draws,win_rate,draw_rate,avg_moves,avg_time,avg_agent1_time,avg_agent2_time,avg_agent2_nodes,avg_agent1_nodes
Default Agent vs Minimax without Alpha-Beta,100.0,0.0,0.0,1.0,0.0,11.3,0.5443164706230164,0.0005324745178222657,0.5437117481231689,1942.31,
Default Agent vs Minimax with Alpha-Beta,100.0,0.0,0.0,1.0,0.0,11.04,0.1622343158721924,0.000515141487121582,0.16165050745010376,631.9,
Default Agent vs Q-Learning Agent,99.0,1.0,0.0,0.99,0.0,17.35,0.0009760832786560058,0.0007772541046142578,9.14597511291504e-05,,
Minimax without Alpha-Beta vs Default Agent,99.0,1.0,0.0,0.99,0.0,11.77,0.6107279753684998,0.6101314282417297,0.0005194401741027832,,2175.14
Minimax without Alpha-Beta vs Minimax with Alpha-Beta,100.0,0.0,0.0,1.0,0.0,9.0,0.5600689435005188,0.44032716512680053,0.11968286991119385,471.0,1575.0
Minimax without Alpha-Beta vs Q-Learning Agent,100.0,0.0,0.0,1.0,0.0,11.82,0.6007718086242676,0.6005963611602784,9.081602096557618e-05,,2158.54
Minimax with Alpha-Beta vs Default Agent,100.0,0.0,0.0,1.0,0.0,11.58,0.2885996603965759,0.28801922798156737,0.0005065369606018067,,1113.81
Minimax with Alpha-Beta vs Minimax without Alpha-Beta,100.0,0.0,0.0,1.0,0.0,9.0,0.6401283192634583,0.22419989347457886,0.41586998462677,1490.0,862.0
Minimax with Alpha-Beta vs Q-Learning Agent,99.0,1.0,0.0,0.99,0.0,12.31,0.30559138774871825,0.30543673276901245,7.256269454956055e-05,,1183.17
Q-Learning Agent vs Default Agent,31.0,69.0,0.0,0.31,0.0,16.39,0.0009321093559265137,0.00010461568832397461,0.0007283234596252441,,
Q-Learning Agent vs Minimax without Alpha-Beta,100.0,0.0,0.0,1.0,0.0,17.68,0.7322572469711304,0.00012205839157104492,0.7285428714752197,2656.5,
Q-Learning Agent vs Minimax with Alpha-Beta,100.0,0.0,0.0,1.0,0.0,18.12,0.2466239333152771,0.00011950969696044922,0.24638470888137817,995.91,
